Structure_ID,Site_ID,dE_H (eV),dE_O (eV),dE_OH (eV),dE_OOH (eV),,
0.307-45,1,2.51,-1.85,-1.14,0.94,,Sítios que quebraram na DFT
0.307-45,2,2.65,-1.37,1.48,-0.21,,
0.307-45,3,0.71,-1.55,1.28,-0.65,,
0.307-45,4,-0.02,-1.51,0.36,-1.56,,
0.307-45,5,0.64,-1.29,1.09,-0.75,,
0.431-44,1,2.31,-0.58,-1.16,0.92,,
0.431-44,2,0.80,-1.49,1.21,-0.64,,
0.431-44,3,0.88,-1.59,1.09,-0.76,,
0.431-44,4,0.07,-1.51,0.60,-1.37,,
0.477-43,1,2.52,-2.41,0.50,-1.43,,
0.477-43,2,3.52,-1.30,1.64,-0.28,,
0.477-43,3,0.12,-1.79,0.55,-1.44,,
0.477-43,4,0.74,-1.26,1.18,-0.73,,
0.524-34,1,-2.65,-2.67,1.16,-3.39,,
0.524-34,2,-3.04,-4.77,-2.72,-2.07,,
0.559-19,1,2.67,-1.30,1.54,-0.79,,
0.559-19,2,0.39,-0.50,0.70,-1.08,,
0.559-19,3,1.02,-0.97,1.94,-0.31,,
0.559-19,4,0.65,-1.35,-1.58,-0.57,,
0.559-19,5,1.33,-1.30,1.56,-0.41,,
0.559-19,6,0.46,-0.43,0.70,-1.16,,
0.559-19,7,1.00,-0.97,1.50,-0.51,,
0.559-19,8,0.63,-1.29,1.50,-0.61,,
0.604-50,1,0.90,-0.52,1.20,-1.90,,
0.604-50,2,1.11,-0.92,1.80,-0.15,,
0.604-50,3,2.71,-1.01,1.28,-0.42,,
0.728-42,1,2.30,-1.46,-1.15,0.91,,
0.728-42,2,0.95,-1.30,1.37,-0.62,,
0.728-42,3,0.35,-0.83,-1.63,-0.22,,
0.766-41,1,-1.04,-2.72,-3.81,-3.37,,
0.766-41,2,-2.02,-1.33,-2.79,-3.62,,
0.766-41,3,-1.79,-0.86,-1.52,-3.18,,
0.766-41,4,0.19,-2.63,0.18,-3.35,,
0.766-41,5,-1.55,-0.61,-0.23,-1.42,,
0.766-41,6,0.99,-2.80,-1.86,-3.24,,
0.766-41,7,-1.69,-2.73,0.10,-3.10,,
0.766-41,8,-1.19,-0.89,-1.76,-2.58,,
0.766-41,9,1.09,-0.83,-1.46,-3.22,,
0.766-41,10,-1.70,-1.26,-1.41,-3.34,,
0.766-41,11,0.20,-0.90,-1.89,-3.68,,
0.766-41,12,-2.09,-3.46,-1.54,-3.49,,
0.766-41,13,-1.81,-3.03,-3.76,-2.70,,
0.766-41,14,-2.25,-1.85,-1.93,-2.56,,
0.766-41,15,-1.81,-0.83,-0.96,-2.84,,
0.766-41,16,-0.06,-1.81,-3.83,-3.37,,
0.766-41,17,-0.03,-0.56,-3.04,-3.06,,
0.766-41,18,-1.60,-0.76,-2.68,-4.41,,
0.766-41,19,0.30,-0.43,0.20,-3.35,,
0.766-41,20,-2.04,-1.45,-5.05,-3.68,,
0.766-41,21,1.15,-0.77,-1.41,-0.44,,
0.766-41,22,-1.80,-1.32,0.97,-1.44,,
0.766-41,23,-0.07,-1.44,-2.04,-3.60,,
0.766-41,24,-1.88,-1.68,1.55,-0.46,,
0.797-320,1,4.28,0.67,-1.10,2.70,,
0.797-320,2,-0.01,-0.79,0.64,-1.53,,
0.797-320,3,2.08,-0.81,1.90,0.15,,
0.797-320,4,2.59,1.00,1.11,-0.89,,
0.797-320,5,3.55,1.05,-1.03,-0.15,,
0.797-320,6,1.76,-0.45,1.82,0.00,,
0.797-320,7,1.24,0.78,-1.03,-0.37,,
0.797-320,8,1.03,0.77,1.54,-0.24,,
0.797-320,9,3.75,1.00,1.82,-0.07,,
0.797-320,10,1.25,0.97,1.75,-0.08,,
0.900-3,1,2.97,-0.92,-2.05,-4.40,,
0.900-3,2,0.87,0.78,1.24,-0.75,,
0.960-258,1,0.25,-0.36,0.52,-1.34,,
0.960-258,2,1.09,0.64,0.78,-0.60,,
0.960-258,3,0.14,-0.46,0.44,-1.30,,
0.960-258,4,0.67,1.31,-1.39,-0.90,,
0.960-258,5,0.67,-1.10,0.92,-0.94,,
0.960-258,6,0.14,-0.40,0.47,-1.33,,
0.971-168,1,-1.32,-2.54,-1.46,-3.14,,
0.971-168,2,0.15,-3.07,0.28,-2.41,,
0.971-168,3,5.32,-2.52,-0.11,1.50,,
